               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045258,            0.041092,                   0,             0.49576,             0.44279,             0.28329,             0.20176,            0.024113,            0.030326,                   0,              0.0919,              0.0009,              0.0009
                   1,            0.036198,            0.027988,                   0,             0.46846,                 0.9,             0.61343,             0.48986,            0.012563,            0.021636,                   0,            0.082837,           0.0018373,           0.0018373
                   2,            0.028138,            0.025144,                   0,             0.49792,                   1,             0.64675,             0.56743,           0.0093207,            0.019662,                   0,            0.073709,           0.0027086,           0.0027086
                   3,            0.026519,            0.020739,                   0,             0.49789,                   1,             0.63653,             0.55727,           0.0079939,            0.017949,                   0,            0.064514,           0.0035139,           0.0035139
                   4,            0.023118,            0.021509,                   0,             0.52045,             0.97709,              0.6472,              0.5743,           0.0074549,            0.014984,                   0,            0.055253,           0.0042532,           0.0042532
                   5,            0.018201,            0.015172,                   0,              0.5163,             0.96089,             0.66984,             0.59265,           0.0062944,            0.013162,                   0,            0.045927,           0.0049265,           0.0049265
                   6,            0.018374,            0.014922,                   0,              0.5239,             0.93562,               0.728,             0.64656,            0.006898,             0.01268,                   0,            0.036534,           0.0055338,           0.0055338
                   7,            0.016367,            0.015005,                   0,             0.52496,                0.95,             0.70647,             0.63582,           0.0074964,            0.012535,                   0,            0.027075,           0.0060751,           0.0060751
                   8,            0.018571,            0.017549,                   0,             0.51406,             0.95212,             0.70521,              0.6266,           0.0065519,            0.012373,                   0,             0.01755,           0.0065504,           0.0065504
                   9,            0.017256,            0.015722,                   0,             0.52774,                0.95,             0.71019,             0.65851,           0.0067249,            0.011984,                   0,           0.0079597,           0.0069597,           0.0069597
                  10,            0.019078,            0.017946,                   0,             0.52603,                0.95,               0.711,             0.66245,           0.0062978,            0.012229,                   0,              0.0067,              0.0067,              0.0067
                  11,            0.017495,            0.015078,                   0,             0.53068,             0.96139,             0.70072,             0.65002,           0.0055002,            0.012355,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.017181,            0.016844,                   0,             0.53832,                0.95,             0.73227,             0.69133,           0.0050958,            0.012336,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.015929,            0.016241,                   0,             0.57147,             0.93382,             0.80214,             0.72147,           0.0064171,            0.012258,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.015433,            0.014193,                   0,             0.58976,                0.95,             0.81879,             0.76469,            0.005288,            0.011914,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.015613,            0.015216,                   0,             0.63562,                0.95,             0.84101,             0.78041,           0.0051603,            0.011682,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.016081,            0.016618,                   0,             0.64714,                0.95,             0.83947,             0.77378,            0.005436,            0.011658,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.013856,            0.013496,                   0,             0.71436,                   1,             0.88448,             0.79409,           0.0053594,            0.011275,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.014859,            0.015629,                   0,               0.695,             0.91181,             0.90519,             0.83499,           0.0054268,             0.01134,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.015146,            0.014496,                   0,             0.71985,                   1,             0.91138,             0.84661,           0.0051274,            0.011195,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.013943,            0.014486,                   0,             0.76359,                   1,             0.91358,             0.85024,            0.005169,            0.011106,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.016417,            0.014714,                   0,             0.76807,             0.99373,              0.9105,             0.83174,           0.0060439,             0.01114,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.016922,            0.015497,                   0,             0.73995,                   1,             0.92119,             0.85727,           0.0054185,            0.011006,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.016186,            0.015675,                   0,             0.74929,                   1,             0.92895,             0.88194,           0.0050903,            0.010964,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.014128,            0.015196,                   0,             0.75567,                   1,             0.92989,             0.87656,           0.0048195,            0.010866,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.013291,             0.01565,                   0,             0.76527,             0.97852,             0.93667,             0.90428,           0.0051097,            0.010919,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.013221,            0.012115,                   0,             0.76943,                0.95,             0.93979,             0.89714,           0.0052745,            0.010943,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.01269,            0.014074,                   0,             0.77198,                0.95,             0.94383,             0.89352,           0.0052312,             0.01092,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.01235,            0.015303,                   0,             0.76131,                 0.9,             0.94583,             0.88912,           0.0051156,            0.010887,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.012976,            0.014375,                   0,             0.78669,             0.92254,             0.94621,             0.87959,           0.0053033,            0.010884,                   0,             0.00076,             0.00076,             0.00076
