               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11808,            0.032048,                   0,                   0,                   0,                   0,                   0,            0.072399,            0.031281,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.10728,            0.032233,                   0,                   0,                   0,                   0,                   0,            0.068591,            0.029934,                   0,            0.084666,           0.0016663,           0.0016663
                   2,             0.09581,            0.032387,                   0,                   0,                   0,                   0,                   0,            0.062536,            0.028821,                   0,            0.076497,            0.002497,            0.002497
                   3,            0.089419,            0.032057,                   0,                   0,                   0,                   0,                   0,            0.056201,             0.02822,                   0,            0.068292,           0.0032921,           0.0032921
                   4,            0.086534,            0.030168,                   0,                   0,                   0,                   0,                   0,            0.051366,            0.028048,                   0,            0.060052,           0.0040515,           0.0040515
                   5,            0.084476,            0.030467,                   0,                   0,                   0,                   0,                   0,            0.048555,            0.027407,                   0,            0.051775,           0.0047753,           0.0047753
                   6,            0.077639,            0.028556,                   0,                   0,                   0,                   0,                   0,            0.042365,            0.028444,                   0,            0.043463,           0.0054634,           0.0054634
                   7,            0.079166,            0.029714,                   0,                   0,                   0,                   0,                   0,            0.043284,            0.027004,                   0,            0.035116,           0.0061159,           0.0061159
                   8,            0.071694,             0.03072,                   0,                   0,                   0,                   0,                   0,            0.045923,            0.025427,                   0,            0.026733,           0.0067328,           0.0067328
                   9,            0.071869,            0.030813,                   0,                   0,                   0,                   0,                   0,            0.045971,            0.024684,                   0,            0.018314,            0.007314,            0.007314
                  10,            0.070679,            0.034197,                   0,                   0,                   0,                   0,                   0,            0.043105,            0.023934,                   0,           0.0098596,           0.0078596,           0.0078596
